epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1065.16,1.10927,0.84147,1.19515,0.79238,0.75975,0.85668,0.5253,1.25861,0.81885,1.34025,0.0088912,0.0088912,0.0088912
58,1085.72,1.10297,0.82741,1.21034,0.77037,0.75305,0.85078,0.53903,1.1711,0.80356,1.3051,0.0088714,0.0088714,0.0088714
59,1106.79,1.10081,0.83088,1.19416,0.7804,0.79526,0.84392,0.54362,1.17803,0.81579,1.29247,0.0088516,0.0088516,0.0088516
60,1127.96,1.12205,0.84286,1.2058,0.7464,0.77342,0.82249,0.51584,1.19051,0.83452,1.31385,0.0088318,0.0088318,0.0088318
61,1147.62,1.12042,0.82971,1.20662,0.81647,0.71707,0.8315,0.52736,1.16807,0.85017,1.28657,0.008812,0.008812,0.008812
62,1168.05,1.11762,0.83944,1.1998,0.84013,0.71569,0.83141,0.53327,1.17809,0.84378,1.30197,0.0087922,0.0087922,0.0087922
63,1189.23,1.09451,0.81958,1.18854,0.7838,0.7773,0.84058,0.54617,1.20138,0.81233,1.29579,0.0087724,0.0087724,0.0087724
64,1209.83,1.121,0.83587,1.19786,0.79759,0.78135,0.83505,0.53834,1.17588,0.80043,1.29629,0.0087526,0.0087526,0.0087526
65,1229.69,1.09174,0.84358,1.19734,0.79954,0.78442,0.84666,0.54057,1.18497,0.80949,1.28573,0.0087328,0.0087328,0.0087328
66,1250.2,1.11184,0.82679,1.19002,0.80249,0.74106,0.83476,0.52163,1.24411,0.83139,1.3171,0.008713,0.008713,0.008713
67,1269.98,1.10355,0.82696,1.19273,0.79311,0.79166,0.8581,0.54915,1.13382,0.76726,1.29644,0.0086932,0.0086932,0.0086932
68,1290.06,1.09342,0.79851,1.1866,0.8236,0.72676,0.82259,0.52819,1.19434,0.87102,1.29765,0.0086734,0.0086734,0.0086734
69,1310.61,1.07723,0.80155,1.18835,0.78316,0.80748,0.85842,0.54509,1.17705,0.76978,1.28682,0.0086536,0.0086536,0.0086536
70,1331.22,1.105,0.81722,1.18693,0.82802,0.76316,0.85795,0.54936,1.17882,0.79124,1.29659,0.0086338,0.0086338,0.0086338
71,1351.29,1.08655,0.78122,1.17224,0.80728,0.74085,0.85268,0.55308,1.14974,0.78495,1.30583,0.008614,0.008614,0.008614
72,1371.72,1.10395,0.80313,1.19629,0.78491,0.77965,0.85653,0.54376,1.19267,0.76521,1.3192,0.0085942,0.0085942,0.0085942
73,1393.12,1.08422,0.80768,1.18158,0.80949,0.78025,0.85611,0.54727,1.18006,0.77313,1.28567,0.0085744,0.0085744,0.0085744
74,1413.37,1.07373,0.77382,1.18757,0.81393,0.75242,0.86072,0.55826,1.1675,0.75865,1.29329,0.0085546,0.0085546,0.0085546
75,1434.03,1.06344,0.77582,1.16963,0.78195,0.81779,0.86599,0.52867,1.18558,0.76546,1.31216,0.0085348,0.0085348,0.0085348
76,1453.95,1.07589,0.79037,1.17987,0.83643,0.79485,0.86859,0.54294,1.15482,0.75158,1.29862,0.008515,0.008515,0.008515
77,1473.51,1.07994,0.78778,1.17716,0.79949,0.82642,0.88156,0.55757,1.19617,0.73745,1.31093,0.0084952,0.0084952,0.0084952
78,1493.12,1.0658,0.76632,1.17384,0.79404,0.80333,0.86512,0.53475,1.15797,0.7623,1.27838,0.0084754,0.0084754,0.0084754
79,1513.93,1.07694,0.7906,1.1638,0.81212,0.79682,0.861,0.56416,1.15457,0.7399,1.31756,0.0084556,0.0084556,0.0084556
80,1535.01,1.08227,0.78192,1.17685,0.84663,0.77107,0.86799,0.5678,1.15343,0.77486,1.27649,0.0084358,0.0084358,0.0084358
